,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
4813,14000301,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,4120,1690,528,"(43, 13)","(54, 15)",True,228.00
4814,15000301,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,3277,2115,581,"(24, 14)","(33, 15)",True,281.00
4815,16000301,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,3528,1614,369,"(25, 7)","(37, 6)",True,69.00
4816,1000302,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,2722,1688,517,"(43, 10)","(48, 12)",True,217.00
4817,2000302,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,5248,2398,550,"(27, 13)","(35, 12)",True,250.00
4818,3000302,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,2876,1714,581,"(16, 14)","(22, 12)",True,281.00
4819,4000302,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,4274,2061,394,"(43, 5)","(48, 6)",True,94.00
4820,5000302,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,4923,2519,1202,"(32, 11)","(69, 9)",True,302.00
4821,6000302,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4486,1771,1219,"(26, 9)","(60, 13)",True,319.00
4822,7000302,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4539,963,1192,"(41, 11)","(73, 14)",True,292.00
4823,8000302,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4467,-1,994,"(33, 10)","(70, 8)",False,Niet gevonden
4824,9000302,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,4253,3062,1191,"(22, 8)","(40, 12)",True,291.00
4825,10000302,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,3668,1454,991,"(23, 8)","(45, 8)",True,91.00
4826,11000302,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3421,544,959,"(32, 5)","(35, 3)",True,59.00
4827,12000302,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2434,0,542,"(17, 7)","(26, 8)",False,Niet gevonden
4828,13000302,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,5213,4499,357,"(19, 8)","(32, 7)",True,57.00
4829,14000302,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3601,1344,528,"(43, 11)","(54, 13)",True,228.00
4830,15000302,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,3060,1988,536,"(40, 13)","(50, 14)",True,236.00
4831,16000302,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,3685,1396,530,"(41, 11)","(53, 9)",True,230.00
4832,1000303,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,3237,2495,371,"(30, 5)","(36, 7)",True,71.00
4833,2000303,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,3173,1051,532,"(34, 14)","(42, 14)",True,232.00
4834,3000303,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,3092,1988,552,"(26, 14)","(33, 13)",True,252.00
4835,4000303,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,4603,2310,379,"(35, 7)","(40, 7)",True,79.00
4836,5000303,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,3846,1366,1240,"(15, 12)","(52, 10)",True,340.00
4837,6000303,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,5240,2258,1235,"(21, 13)","(55, 17)",True,335.00
4838,7000303,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3166,-2,1057,"(38, 10)","(70, 13)",False,Niet gevonden
4839,8000303,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4686,43,1027,"(25, 9)","(62, 6)",True,127.00
4840,9000303,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3249,1839,1410,"(42, 14)","(61, 19)",True,510.00
4841,10000303,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,2812,890,984,"(21, 7)","(43, 7)",True,84.00
4842,11000303,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,5326,1774,1184,"(24, 13)","(45, 9)",True,284.00
4843,12000303,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2430,0,541,"(40, 9)","(49, 10)",False,Niet gevonden
4844,13000303,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,4498,3346,576,"(18, 13)","(32, 12)",True,276.00
4845,14000303,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,2567,973,369,"(24, 7)","(35, 8)",True,69.00
4846,15000303,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,5124,4008,558,"(32, 10)","(41, 11)",True,258.00
4847,16000303,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,5311,2718,411,"(44, 7)","(56, 6)",True,111.00
4848,1000304,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,3292,2202,545,"(30, 10)","(36, 12)",True,245.00
4849,2000304,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,4783,2046,571,"(17, 11)","(26, 11)",True,271.00
4850,3000304,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,2671,1509,581,"(15, 10)","(22, 9)",True,281.00
