Kolom1	Seed	Label	Search pattern	Search radius	Max_current	Upper current	Profile	Zwemvaardgheid	Windrichting	Windsnelheid	Uitruktijd	Stamina begin	Overgebleven conditie	Vind tijd	Locatie begin	Locatie eind	Gevonden	Actieduur			scenario	sec	min	scec		aandeel	
825	10076	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2875	1817	529	(40, 14)	(45, 16)	True	229									
836	10077	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2754	1608	573	(18, 10)	(24, 12)	True	273									
847	10078	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5219	4097	561	(27, 8)	(33, 10)	True	261									
858	10079	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3800	2672	564	(25, 14)	(30, 16)	True	264									
869	10080	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4292	3484	404	(42, 5)	(48, 6)	True	104									
880	10081	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4080	2944	568	(21, 8)	(27, 10)	True	268									
891	10082	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3970	2804	583	(17, 8)	(23, 10)	True	283									
902	10083	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3550	2818	366	(28, 7)	(34, 8)	True	66									
913	10084	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3912	3150	381	(34, 6)	(40, 8)	True	81									
924	10085	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4927	3839	544	(32, 13)	(38, 15)	True	244									
935	10086	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2501	1347	577	(16, 10)	(22, 13)	True	277									
946	10087	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2929	1863	533	(37, 14)	(43, 16)	True	233									
957	10088	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3381	2699	341	(17, 7)	(23, 8)	True	41									
968	10089	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4715	3915	400	(40, 6)	(46, 8)	True	100									
979	10090	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4817	4017	400	(43, 6)	(48, 8)	True	100									
990	10091	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4245	3217	514	(44, 9)	(50, 11)	True	214									
1001	10092	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2458	1340	559	(27, 14)	(33, 16)	True	259									
1012	10093	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4338	3182	578	(16, 12)	(22, 14)	True	278									
1023	10094	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3503	2469	517	(43, 10)	(48, 12)	True	217									
1034	10095	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4379	3217	581	(17, 13)	(23, 15)	True	281									
1045	10096	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5243	4527	358	(25, 5)	(31, 6)	True	58									
1056	10097	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4439	3269	585	(15, 12)	(21, 15)	True	285									
1067	10098	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2517	1449	534	(38, 11)	(43, 13)	True	234									
1078	10099	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4049	3351	349	(24, 6)	(29, 7)	True	49									
1089	10100	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3017	1985	516	(43, 9)	(49, 11)	True	216									
1100	10101	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4748	3692	528	(38, 8)	(44, 10)	True	228									
1111	10102	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4890	3822	534	(36, 8)	(42, 10)	True	234									
1122	10103	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4660	3540	560	(25, 13)	(31, 15)	True	260									
1133	10104	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4251	3181	535	(35, 12)	(41, 14)	True	235									
1144	10105	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4531	3315	608	(17, 8)	(22, 10)	True	308									
1155	10106	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2481	1333	574	(19, 10)	(25, 12)	True	274									
1166	10107	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4558	3398	580	(15, 11)	(21, 13)	True	280									
1177	10108	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5393	4323	535	(34, 11)	(40, 13)	True	235									
1188	10109	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4983	3899	542	(34, 12)	(39, 14)	True	242									
